Product_Sold | Description,Old Price,Discount Percentages,Current Prices,Rating_out_of_5,Number of Ratings,Link,Unit Available,Sale Type,Brand,Use_Case,RAM,ROM,USD Price,Seller Name,Seller Score,Door Delivery Fees,Door Delivery Date,Door Delivery Ready Time,Pickup Fees,Pickup Date,Pickup Ready Time
Acer ASPIRE 3 Laptop – Intel Core I7- 1165G7 - 12GB RAM – 1TB HDD +256GB SSD - 15.6 Inch FHD – NVIDIA MX 350 2GB – Silver,40000.0,42.0,23223.0,2.0,1.0,https://www.jumia.com.eg/hp-hp-probookx360435g8amdryzen5-5600u8gb256gbssdamdradeongraphics13.3fhdconvertibletouchwin10-28605790.html,3,Back to school offers,Intel Core I7,Laptop,12 GB ,1TB HDD,751.55,Winner- Brands,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
DELL Inspiron 5406 2-In-1 Laptop - Intel Core I3 - 8GB RAM - 256GB SSD - 14.0-inch HD - Intel GPU - Windows 10 - Platinum silver,49599.0,44.0,27999.0,0.0,0.0,https://www.jumia.com.eg/hp-probook-450-g9-core-i5-1235u-15.6-hd-8gb-512gb-ssd-mx570-2gb-dos-silver-aluminum-31300144.html,4,information not available,DELL,Laptop,8 GB ,256GB SSD,906.12,Delta Systems,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Acer ASPIRE 3 Laptop – Intel Core I5 – 1135G7 – 8GB RAM - 256 SSD – 15.6 Inch FHD – NVIDIA MX 350 2GB - Silver,40000.0,20.0,32000.0,0.0,0.0,https://www.jumia.com.eg/huawei-matebook-b3-420-laptop-core-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-gpu-14in-fhd-space-gray-dos-no-windows-38468148.html,3,information not available,Unknown,Laptop,8 GB ,256 SSD,1035.6,New Vision Marketplace,46.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Acer Aspire 5 A515-57G-70GT Notebook Laptop – Intel Core i7 – 8GB RAM – 512 SSD – Nvidia GeForce RTX 2050 - 15.6 Inch FHD  - Windows 11 – Steel Grey,40000.0,20.0,32000.0,0.0,0.0,https://www.jumia.com.eg/huawei-matebook-b3-520-laptop-core-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-gpu-15.6in-fhd-space-gray-dos-no-windows-38468120.html,3,information not available,Intel Core i7,Laptop,8 GB ,512 SSD,1035.6,New Vision Marketplace,46.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Asus 15 X515FA-BQ8G3W Intel Core I3-10110U – 8GB –1TB HDD –Intel UHD Graphics –15.6 FHD – WIN 11 –Slate Grey,28299.0,12.0,24788.0,0.0,0.0,https://www.jumia.com.eg/hp-pc-hp-all-in-one-200-g4-core-i5-10210-1.6-ghz-6mb-intel-uhd-graphics-4gb-1tb-kb-mouse-21.5-dos-no-windows-37363709.html,2,information not available,Asus,Unknown,8 GB ,1TB HDD,802.2,Winner- Brands,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"HP 6A3S1EA Victus Gaming 16-D1012ne Laptop - Intel Core I7-12700H - 16GB RAM - 1TB SSD - 16.1 Inch FHD – h - Mica Silver - FreeDOS ""No Windows""",31333.0,8.0,28710.0,0.0,0.0,https://www.jumia.com.eg/hp-victus-15-fa0031dx-ci5-12450h-8gb-ssd-512gb-nvidia-gtx1650-4gb-15.6-fhd-ips-144hz-win11-silver-30758674.html,1,Back to school offers,HP,Gaming,16 GB ,1TB SSD,929.13,Winner- Brands,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Lenovo Ideapad 3 15IML05 laptop - Intel core i3-10110U- 4GB RAM - 1TB HDD- 15.6-inch FHD –DOS ""No Windows"" – Platinum Grey - (English/Arabic Keyboard)",0.0,0.0,48000.0,0.0,0.0,https://www.jumia.com.eg/lenovo-thinkpad-e14-g4-core-i7-1255u-8g-ram-512gb-nvme-vga-nvidia-2g-mx550-ddr6-14.0-fhd-inchfinger-print-black-bag-lenovo-dos-no-windows-37364331.html,4,information not available,Lenovo,laptop,4 GB ,1TB HDD,1553.4,Elite for trade Marketplace,50.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
"Huawei MateBook B3-420 Laptop - Core I5-1135G7 - 8GB RAM - 512GB SSD - Iris XE GPU - 14in FHD - Space Gray - DOS ""No Windows""",180000.0,3.0,174500.0,0.0,0.0,https://www.jumia.com.eg/dell-xps-17-9710-laptop-intel-core-i9-64gb-ram-2tb-ssd-17-inch-uhd-touch-6gb-gpu-windows-11-silver-26794905.html,2,information not available,Unknown,Laptop,8 GB ,512GB SSD,5647.25,New Vision Marketplace,46.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Acer ASPIRE 3 Laptop – Intel Core I3 – 1115G4 – 4GB RAM - 1TB HDD - 15.6 Inch FHD - Silver,0.0,0.0,94900.0,0.0,0.0,https://www.jumia.com.eg/apple-macbook-pro-14-m1pro-8c-cpu-14c-gpu16gb512gbspace-grayar-27556633.html,2,information not available,Unknown,Laptop,4 GB ,1TB HDD,3071.2,Techmart Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Acer Aspire 7 A715-43G-R3A6 Notebook Laptop – AMD Ryzen 5 5625U - 16GB RAM – 512 SSD – NVIDIA GeForce RTX 3050 – 15.6 Inch FHD – Windows 11 – Charcoal Black,0.0,0.0,48100.0,0.0,0.0,https://www.jumia.com.eg/lenovo-ideapad-gaming-3-core-i7-12650h-16g-ram-512nvme-vga-nvidia-4g-rtx-3050ti-15.6-fhd-165hz-grey-dos-no-windows-37862104.html,4,information not available,Unknown,Laptop,16 GB ,512 SSD,1556.63,Elite for trade Marketplace,50.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
Acer ASPIRE 3 Laptop – Intel Core I5 -1135G7 – 8GB RAM -1TB HDD - 15.6 Inch FHD –NVIDIA MX 350 . 2GB – Silver,0.0,0.0,77800.0,0.0,0.0,https://www.jumia.com.eg/lenovo-legion-5-pro-core-i7-12700h-32g-ram-1tb-nvme-vga-nvidia-6g-rtx-3060-16.0-wqxga-165hz-grey-dos-no-windows-31800967.html,4,information not available,Unknown,Laptop,8 GB ,1TB HDD,2517.8,Elite for trade Marketplace,50.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
HP ENVY 13-ba1018ne - I7-1165G7 -16GB -1TB SSD  MX450 2GB,0.0,0.0,94900.0,0.0,0.0,https://www.jumia.com.eg/apple-macbook-pro-14-m1pro-8c-cpu-14c-gpu16gb512gbsilverar-27347784.html,2,information not available,HP,Unknown,16 GB ,1TB SSD,3071.2,Techmart Marketplace,100.0,EGP 52.44,06 September,07 September,EGP 52.44,06 September,07 September
